label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,-1032.9558488819114,2180.634900226536,-10.423013,6.618369,5.3584398691710815,-0.17960607590937672,8.013056,-5.0278106
B6,3073.964833508979,-2772.6717406131565,34.58753,-26.346716,5.487012125615142,-0.9238593496807896,11.336063,-1.9273667
B6,1068.5121971066342,-1108.6800125864465,15.462024,-15.016953,5.454344686663077,-0.7347606353996539,10.046163,-2.8318322
B6,-8438.406528168653,-1021.1326558851073,-53.291412,-5.0119796,5.43117263116485,-0.6006268911415149,4.6241956,-3.7097342
B6,-4085.920399357247,1938.365095647138,-39.152702,14.630719,5.4284522762853555,-0.5848798467876906,5.5956097,-5.585652
B6,-3531.300932523629,-1400.9909979340728,-35.86604,-25.305069,5.478814820905579,-0.8764084373693337,6.320238,-3.2544725
B6,2192.916158201237,-2036.9409234266147,22.356934,-24.927,5.55610905161706,-1.3238337672317442,10.320639,-2.1570022
B6,2006.2146393796813,-2510.7194765687564,15.3143635,-26.42543,5.447686559554649,-0.6962194054744102,9.696752,-1.6826757
B6,801.9998525023958,-1458.9064090939514,10.76635,-17.166618,5.472689239781211,-0.8409499027554348,9.389269,-2.7646558
B6,4961.425219098923,-2024.721145647059,36.387177,-21.908878,5.542737879793508,-1.2464334113613333,11.783599,-1.9437829
B6,1854.1186423676766,-186.4626225818675,17.979078,-4.1111183,5.486073628995046,-0.9184267688014142,10.303176,-3.3519719
B6,-2879.8204610693956,1105.0830684827629,-28.831427,12.422368,5.577333238331932,-1.4466920796120988,6.207876,-4.911112
B6,-3901.2114680696186,737.0558218272439,-28.880768,28.693363,5.8141129173578046,-2.817314764094925,5.9221225,-5.304252
B6,3691.549978389343,-740.6662345325786,34.601894,30.25896,5.457919708462343,-0.7554550040876791,11.996671,-3.8344355
B6,-1958.9066879863192,-2189.9547074634934,-19.57025,-23.037271,5.517480601906132,-1.1002291502393071,6.665727,-2.7001505
B6,771.4952093860719,-3722.2856406365377,14.647211,-30.015728,5.487303515875623,-0.9255460911390028,9.130261,-1.8757399
B6,-2400.4857445467937,657.3663489014451,-24.149044,5.164301,5.4204634334544135,-0.5386356367615284,6.6199155,-5.285
B6,1596.3038400395592,546.3191939433361,20.310757,1.9877298,5.487870072416801,-0.9288256599367111,10.435745,-4.0491934
B6,4961.425219098923,-2024.721145647059,36.387177,-21.908878,5.542737879793508,-1.2464334113613333,11.816074,-1.920227
B6,-3636.303319776006,-1272.520115065579,-26.290766,-13.167415,5.4753972748202475,-0.8566256324889103,6.0620894,-2.5741932
B6,5152.433085645209,-1320.6695270358396,36.89098,20.628443,5.356151759010952,-0.1663611230362403,12.958708,-3.4132135
B6,1220.916528288851,-413.0935096969516,13.235398,-10.178232,5.459584888208817,-0.7650940624041267,10.4653225,-3.5172415
B6,-1518.0364825584381,151.75427734373756,-16.732317,-1.864102,5.577246764686571,-1.4461915183285763,7.5352798,-3.829351
B6,-1421.985617877472,-1409.7872436477182,-18.971128,-13.392644,5.443072501055774,-0.6695104696733177,7.3601966,-3.166612
B6,1420.0983758602135,-914.5626499321334,8.00751,-8.206952,5.349612147380908,-0.12850593172631042,9.721915,-3.7849953
B6,339.24646154230294,-643.6436368725238,12.057604,-3.0066285,5.51550736542761,-1.0888068749387074,8.725856,-3.8868675
B6,3534.555490465077,-1499.6282850304124,36.250275,-29.285841,5.454423579263283,-0.7352173130498492,11.240491,-2.142021
B6,973.6302267046734,-1239.6168806265728,-2.325823,-20.264973,-0.08178019669549974,-2.1913794483660882,8.402856,-2.5062811
B6,-5751.950507825864,-993.8977556488336,-42.209812,-15.187935,4.671036235436297,3.799498117782482,5.1279817,-2.8580399
B6,-5115.35088405766,998.2931608759616,-43.677177,6.2187433,5.522732769693537,-1.1306318450216146,4.822006,-4.9069486
