Label,Prediction,Probabilities
0,0,[    0.68944    -0.83287    -0.24573]
0,1,[    0.14246     0.15755    -0.57329]
0,0,[    0.29086    -0.56955      0.1397]
0,0,[    0.31907    -0.55366    -0.49153]
0,1,[    0.01827     0.51448     -0.6774]
0,0,[     1.0296    -0.36966    -0.66016]
0,0,[     0.7734    -0.74846      -0.407]
0,1,[   0.024874     0.24439    -0.43609]
0,0,[    0.51168   0.0047983    -0.15109]
0,1,[   -0.41004     0.31616   -0.083066]
0,1,[  -0.046279     0.08124    -0.19296]
0,0,[    0.20577   -0.067361    -0.42383]
0,0,[    0.77247    -0.50537    -0.46932]
0,1,[  -0.066429     0.23037    -0.33352]
0,1,[     0.1564     0.31087   0.0043291]
0,0,[    0.30609    0.034772     -0.3858]
0,2,[     -0.489    0.065036     0.83742]
0,0,[    0.81629    -0.60708    -0.35128]
0,0,[    0.57988    -0.42603    -0.36244]
0,0,[    0.42177    -0.36954    -0.42435]
0,0,[    0.61137    -0.37463    -0.48881]
0,0,[    0.30995  -0.0085617     0.18416]
0,0,[    0.63165    -0.44557     -0.4226]
0,0,[    0.56563    -0.42764    -0.17929]
0,1,[   0.026153     0.12651   -0.055904]
0,0,[    0.77943    -0.42284    -0.54922]
0,0,[    0.57317     -0.5646    -0.23956]
0,0,[    0.83783    -0.59116    -0.81312]
0,0,[ -0.0062881   -0.030498    -0.38118]
0,0,[    0.45647    -0.35742    -0.32319]
0,0,[   0.036055    -0.10662    -0.26708]
0,1,[   -0.14913    0.013344  -0.0019236]
0,0,[   0.055246    -0.64271    0.051922]
0,0,[    0.88019     -1.0401    -0.32047]
0,0,[    0.74967    -0.38654    -0.62919]
0,0,[   0.053921   -0.097756    -0.52288]
0,2,[  -0.074495    -0.34117    0.091147]
0,0,[    0.33968    0.086275    -0.62232]
0,0,[    0.16483    0.011412    -0.52484]
0,0,[    0.30225    -0.26068    -0.35088]
0,0,[    0.42517     -0.3221    -0.49519]
0,0,[    0.36997   -0.055371    -0.20744]
0,0,[    0.25667    -0.21302  -0.0016934]
0,0,[    0.18428    -0.18017      0.1597]
0,0,[     0.3981    -0.30362    -0.50887]
0,0,[      0.126    -0.03571    -0.34409]
0,0,[    0.17542    -0.16659    -0.41978]
0,0,[    0.97806     -0.4807    -0.35815]
0,0,[    0.64115    -0.37415    -0.59191]
0,1,[  -0.050924   -0.042256    -0.14744]
0,0,[    0.53001      0.1087    -0.24358]
0,0,[    0.29671    -0.28593     -0.4553]
0,0,[   0.033771    -0.14492    -0.22309]
0,0,[    0.39288   -0.042445    -0.16568]
0,0,[    0.53607    -0.43016    -0.25949]
0,0,[    0.60543    -0.51835   -0.040181]
0,0,[    0.33595    -0.52717    -0.35008]
0,0,[    0.65663    -0.22374     -0.7382]
0,0,[    0.26185    -0.36938     -0.3649]
0,1,[    0.05723      0.6729    -0.57379]
0,0,[    0.15849   -0.098261    -0.44303]
0,0,[   0.094396    -0.10344    -0.25441]
0,0,[    0.54376    -0.58521   -0.083572]
0,0,[    0.85346    -0.50086    -0.43109]
0,0,[    0.57303    0.076263    -0.56187]
0,2,[   -0.46489    0.054173      0.2264]
0,0,[    0.26941    -0.24611    -0.22837]
0,0,[    0.59008    -0.57018    -0.46135]
0,0,[     0.4512    -0.34804    -0.41463]
0,0,[    0.35146    -0.30446    -0.35096]
0,0,[    0.69708    -0.19931    -0.60888]
0,1,[   0.013362     0.28344    0.010138]
0,0,[     0.5847    -0.19609    -0.41352]
0,0,[    0.56619     -0.4528    -0.24487]
0,0,[    0.62469    -0.36005     -0.4874]
0,0,[   0.019489    -0.22077     -0.1817]
0,0,[    0.65364    -0.43892    -0.60905]
0,0,[     0.3886    -0.54805   -0.088348]
0,1,[    0.11393     0.37366    -0.40734]
0,0,[      0.084    -0.45048     -0.5905]
0,2,[   -0.27989      0.1758     0.28182]
0,0,[    0.95169    -0.18218    -0.53694]
0,0,[    0.17703    0.028403    -0.34781]
0,0,[     1.0657    -0.47809    -0.45347]
0,0,[    0.68138    -0.40086    -0.27644]
0,0,[    0.50074    -0.58304    -0.40559]
0,0,[    0.44458    -0.66354    -0.52599]
0,0,[    0.42881    -0.34071   -0.064723]
0,0,[    0.40918    -0.50183    -0.17572]
0,1,[  -0.037397     0.17994    -0.46032]
0,0,[    0.13219   -0.035827    -0.49698]
0,0,[   0.061219    -0.42422    0.041719]
0,0,[     0.4009    -0.37782    -0.68033]
0,0,[    0.73609    -0.59875    -0.56587]
0,0,[    0.50401    -0.25355    -0.50674]
0,0,[    0.45056    -0.35065    -0.21424]
0,2,[  -0.032951    -0.08614     0.04078]
1,2,[  -0.075363    0.027648     0.18241]
1,2,[   -0.82587   -0.054409    0.046872]
1,1,[   -0.35999     0.10688    0.059329]
1,2,[   -0.57848     0.25692     0.47189]
1,1,[   -0.70787     0.52574   -0.072362]
1,1,[   -0.35782     0.72161     0.13864]
1,1,[   -0.81674      0.6278     0.29184]
1,0,[    0.28145     0.11589    -0.10769]
1,1,[   -0.57635     0.29205     0.26852]
1,2,[   -0.41389    -0.13388   -0.038997]
1,1,[   -0.50711     0.42876     0.37407]
1,1,[   -0.22789     0.20433    -0.12716]
1,1,[   -0.33971     0.58359    -0.18142]
1,1,[   -0.22167      0.4109    0.094092]
1,2,[   -0.13058    -0.15851     0.29046]
1,2,[   -0.45914   -0.093858     0.15435]
1,0,[  -0.078683    -0.35663    -0.10468]
1,1,[   -0.40443     0.25966     0.20163]
1,2,[   -0.25337     0.25625     0.47003]
1,1,[    0.10745     0.46499    -0.20178]
1,1,[    -0.5875     0.71285     0.54427]
1,1,[   -0.52587     0.69343     0.23262]
1,1,[   0.026844     0.12842    -0.16542]
1,2,[   -0.25306     0.58093     0.60425]
1,0,[    0.19298    0.070088   -0.048566]
1,1,[   -0.44666   -0.018557    -0.35811]
1,2,[   -0.44714    -0.24567     0.28838]
1,2,[   -0.70474     0.47775     0.57361]
1,1,[   0.026844     0.12842    -0.16542]
1,0,[    0.28555    -0.26841    -0.48904]
1,1,[ -0.0031502     0.24337    -0.21931]
1,0,[    0.24014   0.0034917    -0.12911]
1,1,[   0.069196     0.10477    0.026366]
1,1,[   -0.22377     0.50261    -0.10123]
1,1,[   -0.48083     0.20251    -0.30126]
1,0,[   0.086548    0.080025    -0.17523]
1,0,[    0.20285    0.096685    -0.41032]
1,2,[   -0.36527    -0.21528     0.37038]
1,2,[    -0.6683     0.19551     0.74689]
1,1,[   -0.60172     0.66295   -0.051356]
1,1,[   -0.33484     0.25979     0.17121]
1,2,[   -0.12431    -0.20358     0.11096]
1,1,[   -0.29431     0.23073    0.077397]
1,2,[    -0.2022    -0.27735     0.14313]
1,1,[   -0.19812     0.28096    -0.16909]
1,1,[  -0.081137      0.3971    -0.39703]
1,0,[    0.14447    -0.25093    -0.37869]
1,2,[   -0.71918     0.08804     0.70381]
1,1,[   -0.35894     0.23652    -0.42821]
1,1,[   -0.25586      0.7095     -0.2363]
1,1,[    -0.4463     0.34885     0.11096]
1,1,[  -0.017737     0.22793    -0.25077]
1,1,[  -0.095271     0.20483      0.1394]
1,2,[   -0.12176    0.077203      0.3397]
1,0,[    0.23322     0.22548    -0.33891]
1,1,[   -0.69331     0.52274     0.25905]
1,2,[   -0.55241     0.21806     0.59576]
1,1,[   -0.48382     0.65124     0.45262]
1,0,[   -0.02264    -0.15081     -0.0438]
1,2,[   -0.35045     0.12174     0.65311]
1,2,[   -0.18372    0.069886     0.16256]
1,1,[   -0.69725      0.3098    0.072821]
1,1,[   -0.22774     0.57908     0.24498]
1,2,[     -1.383     0.39042     0.49054]
1,1,[   0.059807     0.52269     0.32894]
1,2,[   -0.61767     0.15501     0.29871]
1,2,[  0.0029756    0.042103    0.065287]
1,0,[  -0.023525   -0.034644    -0.34799]
1,2,[   -0.23432    0.051387     0.18024]
1,1,[   -0.26446     0.62248   -0.012414]
1,2,[   -0.41389    -0.13388   -0.038997]
1,1,[   -0.16086     0.23799     -0.2292]
1,1,[   -0.68188     0.45071    -0.35203]
1,2,[    -0.9331     0.23809     0.78725]
1,2,[   -0.48152     0.43432     0.72101]
1,1,[   -0.56207     0.54704     0.16992]
1,1,[  -0.028242     0.20614     -0.2877]
1,2,[   -0.60836      0.0165      0.1141]
1,1,[   -0.17153     0.39139    -0.18719]
1,1,[   -0.68438     0.17692     0.10642]
1,1,[  -0.044625      0.2388    0.066859]
1,2,[   -0.82219    0.076509     0.53647]
1,0,[    0.78675    0.065319    -0.33551]
1,1,[   -0.44366      0.4253     -0.1091]
1,2,[   -0.39111     0.23351     0.55965]
1,1,[   -0.50649     0.18689   -0.058341]
1,2,[ 4.4464e-05    -0.34245      0.1146]
1,1,[   -0.40534     0.27282     0.17549]
1,1,[   -0.62544     0.44682     0.29067]
1,0,[    0.23639    -0.17573     -0.2029]
1,2,[   -0.10616     0.38766     0.44739]
1,2,[   -0.70321   -0.040463     0.81923]
1,2,[   -0.57172     0.67729     0.70904]
1,0,[    0.02098   -0.057856   -0.041065]
1,0,[     0.4492    0.077361    -0.32357]
1,1,[   -0.29929   0.0053315    -0.25574]
1,0,[  -0.057009    -0.20058    -0.30607]
1,0,[    0.27593     0.10891    -0.45299]
1,2,[   -0.85497 -0.00087923     0.53803]
1,1,[   -0.52695     0.40697     0.17232]
1,2,[   -0.38216    0.056724     0.46708]
1,1,[   -0.13283     0.11478    0.043146]
1,1,[   -0.43478      0.5484     0.18987]
1,1,[   -0.44046     0.31393     0.19494]
1,1,[   -0.38488     0.24947      0.2355]
1,1,[   -0.28326     0.24901    -0.27329]
1,2,[   -0.62787  0.00025641     0.49569]
1,1,[   -0.73289     0.31363     0.27197]
1,2,[   -0.56985   0.0025414     0.10051]
2,2,[   -0.31973    -0.24667     0.11569]
2,2,[   -0.34756    0.044826     0.39849]
2,2,[   -0.44208     -0.2066      0.4252]
2,1,[   -0.61194     0.12168    0.054161]
2,2,[   -0.56851     -0.2999     0.53621]
2,2,[   -0.99946     0.35917       1.188]
2,1,[    -0.9583     0.55343     0.32826]
2,2,[  -0.098623    -0.26273     0.10095]
2,2,[   -0.94961     0.30926     0.33548]
2,2,[   -0.52688    0.068245     0.80258]
2,1,[   -0.32189     0.35714    -0.17873]
