path_to_image,label,predicted_vector,predicted_label
./data/processed/1726417351_70_15_15_42/train/B6/z5113195133649_d379fb185843e4d1ad90dc0073fd0aed.jpg,2,"[[-3.243804693222046, -4.282371997833252, 6.000677108764648], [-0.0859811082482338, -5.490983009338379, 3.9701790809631348], [-2.756330728530884, -2.5199129581451416, 4.04931116104126], [-2.961007833480835, -1.9058809280395508, 3.9243035316467285], [0.00495982775464654, -3.119891405105591, 2.385127544403076], [-3.7459909915924072, -6.884058475494385, 8.412290573120117], [-4.0672430992126465, -2.1911637783050537, 4.817741394042969], [-6.2897868156433105, -1.6911734342575073, 6.302791118621826], [-1.891597032546997, -2.720418930053711, 3.1941802501678467], [-0.21379472315311432, -2.2375733852386475, 1.8823766708374023], [-0.017035411670804024, -1.9767436981201172, 1.4852511882781982], [-1.8259049654006958, -2.359773635864258, 3.4405462741851807], [-3.564807176589966, -1.3329083919525146, 4.040373802185059]]",2
./data/processed/1726417351_70_15_15_42/train/B6/Image_26435.jpg,2,"[[-6.004300117492676, -1.9905723333358765, 6.111082553863525], [-8.747883796691895, 1.2791602611541748, 4.9941325187683105], [-9.208510398864746, 1.7996031045913696, 4.435595989227295], [-2.686774253845215, 0.9528523683547974, 1.103180170059204], [-0.4815003573894501, 1.1308926343917847, -0.14015813171863556], [-7.4881086349487305, -0.7252950072288513, 5.6705098152160645], [-6.364347457885742, -0.4506612718105316, 4.782672882080078], [-6.495463848114014, 1.4100581407546997, 3.132463216781616], [-8.532757759094238, 1.3560843467712402, 3.9424569606781006], [-7.954524993896484, 2.0098495483398438, 3.172739267349243], [-6.481053829193115, 0.11162915080785751, 4.344574928283691], [-8.030024528503418, -0.29947662353515625, 5.5034942626953125], [-5.279276371002197, -2.123908281326294, 5.403313159942627]]",2
./data/processed/1726417351_70_15_15_42/train/B6/z4998248372462_5aaacad447ff6b26205abd974107dfd5.jpg,2,"[[-4.808416843414307, -0.926472544670105, 5.279305458068848], [-8.170811653137207, 0.7583641409873962, 4.114104270935059], [-9.733570098876953, 2.6223416328430176, 3.4477310180664062], [-7.537669658660889, 1.9762582778930664, 3.4366533756256104], [-5.444188594818115, -0.7370572686195374, 3.7041714191436768], [-8.110175132751465, -2.192699670791626, 7.5503153800964355], [-8.003403663635254, 4.558320045471191, 1.4518576860427856], [-9.257092475891113, 1.4426711797714233, 4.925406455993652], [-10.211490631103516, -1.4581162929534912, 8.202895164489746], [-7.6493988037109375, -2.0351502895355225, 6.978248596191406], [-6.993934631347656, 2.877418041229248, 2.425804615020752], [-10.08897590637207, 0.11673455685377121, 5.99379301071167], [-8.451010704040527, -1.9917923212051392, 7.267260551452637]]",2
./data/processed/1726417351_70_15_15_42/train/B6/Image_142228.jpg,2,"[[-3.5170092582702637, -4.159135818481445, 7.278122425079346], [-6.230095863342285, -0.442484587430954, 4.074244499206543], [-4.567840099334717, -1.2123407125473022, 3.8344626426696777], [-7.24487829208374, -0.7044263482093811, 5.4150919914245605], [-6.121341705322266, -2.431438446044922, 7.205717086791992], [-8.68382740020752, 1.1708532571792603, 4.624307632446289], [-6.9360527992248535, 0.11441535502672195, 4.582320213317871], [-7.481698036193848, -1.106451392173767, 5.39151668548584], [-10.322962760925293, -1.2227675914764404, 7.581906795501709], [-5.028299808502197, -1.7129991054534912, 5.134529113769531], [-10.200275421142578, -3.475430965423584, 10.689441680908203], [-4.981727123260498, -4.220103740692139, 7.638312816619873], [-10.678427696228027, 0.9947460293769836, 5.664249897003174]]",2
./data/processed/1726417351_70_15_15_42/train/B6/z4867267626627_414937d4f58bd6da522b732ea0ed088b.jpg,2,"[[-10.207520484924316, -0.6803140044212341, 7.451180458068848], [-9.254775047302246, -0.6951543688774109, 6.39914083480835], [-9.397422790527344, 0.052033647894859314, 5.468189716339111], [-10.050825119018555, 0.4486961364746094, 5.884704113006592], [-8.878717422485352, -0.45260241627693176, 5.234208583831787], [-10.65880298614502, -1.1449252367019653, 8.28934097290039], [-11.4906587600708, 2.333956003189087, 5.28607177734375], [-12.27225112915039, 0.49750593304634094, 7.354422092437744], [-10.499128341674805, -2.857100486755371, 9.843134880065918], [-10.733263969421387, -1.115411400794983, 7.795902729034424], [-12.826996803283691, -0.8383249044418335, 8.840795516967773], [-9.472168922424316, -1.7450560331344604, 6.710179805755615], [-7.596783638000488, -1.1382735967636108, 5.399505138397217]]",2
./data/processed/1726417351_70_15_15_42/train/B6/z4969377162313_f2ec5526af3a1216284edb72007afc3e.jpg,2,"[[-4.224618911743164, -3.777710199356079, 6.665622711181641], [-5.844572067260742, 0.7043538093566895, 2.7422783374786377], [-4.862407684326172, -2.6222710609436035, 6.316384792327881], [-4.733404636383057, -2.9906694889068604, 6.377717971801758], [-4.626547813415527, -2.702773094177246, 5.509383201599121], [-3.656672954559326, -1.4192571640014648, 3.816049337387085], [-2.951470375061035, 0.79477459192276, 1.7188340425491333], [-4.668118476867676, -4.626102447509766, 8.108428955078125], [-4.399082660675049, -2.4734463691711426, 6.054111957550049], [-4.511238098144531, -2.1961991786956787, 5.361767292022705], [-3.502901077270508, -4.10223913192749, 6.426687240600586], [-2.7225136756896973, -1.9623000621795654, 3.9181909561157227], [-4.2253594398498535, -2.735198497772217, 5.659208297729492]]",2
./data/processed/1726417351_70_15_15_42/train/B6/z5113274910971_9602a022bf57c930c2f7f988c4b306a6.jpg,2,"[[-4.715972423553467, -5.412076473236084, 9.429229736328125], [-9.332866668701172, -1.86846125125885, 7.049870491027832], [-10.569151878356934, -1.537575364112854, 8.102574348449707], [-9.457890510559082, -1.8480321168899536, 7.597912311553955], [-14.975164413452148, -0.3686428964138031, 9.681559562683105], [-9.561368942260742, -1.6547430753707886, 7.840053081512451], [-3.6774632930755615, -2.405910015106201, 4.985634803771973], [-2.6211655139923096, -4.65924596786499, 6.587303638458252], [-5.746209144592285, -1.7519643306732178, 6.0439581871032715], [-10.893733978271484, -3.121674060821533, 9.14596176147461], [-11.201766014099121, -3.007873058319092, 9.886263847351074], [-7.60925817489624, -2.2698564529418945, 7.405911445617676], [-6.926921844482422, -2.8059632778167725, 7.4035491943359375]]",2
./data/processed/1726417351_70_15_15_42/train/B6/z5113630675744_d9fbe6c6b9365027c47ea5579117ae6d.jpg,2,"[[-6.417369842529297, -1.4276444911956787, 5.879033088684082], [-5.352748394012451, 0.3026607036590576, 2.8430309295654297], [-11.285962104797363, 3.0960144996643066, 4.253932476043701], [-11.541962623596191, 2.4453186988830566, 5.772000789642334], [-9.754759788513184, 1.9120979309082031, 4.634389877319336], [-7.253633499145508, -0.7652666568756104, 5.252767562866211], [-5.289613723754883, 0.7499871253967285, 3.007390022277832], [-6.234652042388916, 0.3949812352657318, 4.187905788421631], [-8.28924560546875, 1.2160077095031738, 4.620279788970947], [-3.4040839672088623, -1.63392972946167, 3.593618631362915], [-7.974400520324707, 1.479628086090088, 3.690654754638672], [-9.39787769317627, 0.40880298614501953, 5.411270618438721], [-1.4453554153442383, -0.0970536395907402, 1.247887372970581]]",2
./data/processed/1726417351_70_15_15_42/train/B6/z5113275589976_c340a0d4d28630bdaef77d6d26a4444f.jpg,2,"[[-3.5549697875976562, -6.881448745727539, 8.497629165649414], [-0.8505454659461975, -3.625030517578125, 3.84226393699646], [-2.456916332244873, -5.34693717956543, 6.146268367767334], [-5.402022838592529, -0.04982193931937218, 3.527714252471924], [-3.60932993888855, -1.803099513053894, 3.8194074630737305], [-3.4397690296173096, -2.0683090686798096, 4.029004096984863], [-4.37745475769043, -0.5071328282356262, 3.728581190109253], [-7.063751697540283, -5.310135364532471, 10.011982917785645], [-3.493363380432129, -1.6458995342254639, 3.447258472442627], [-0.988917350769043, -4.582015514373779, 4.592648506164551], [-4.887667179107666, -2.7091503143310547, 5.873361110687256], [-3.533090353012085, -4.675602912902832, 7.076646327972412], [-3.851095676422119, 0.6041118502616882, 1.816452145576477]]",2
./data/processed/1726417351_70_15_15_42/train/B6/Image_26443.jpg,2,"[[-6.317698955535889, -2.4040024280548096, 6.784292221069336], [-0.5651969909667969, 1.2662297487258911, -0.22043976187705994], [-8.433449745178223, 0.5729746222496033, 4.629941940307617], [-6.735983371734619, 0.536497175693512, 4.118199348449707], [-1.9946545362472534, 0.8137838244438171, 0.777366578578949], [-7.565271377563477, 0.5896708965301514, 4.098587989807129], [-6.775778293609619, 1.573590874671936, 3.1660053730010986], [-7.265989303588867, -0.027957625687122345, 4.753902912139893], [-8.480093955993652, -0.7619099617004395, 5.998739242553711], [-6.218360900878906, 0.060816965997219086, 3.988875150680542], [-9.314583778381348, 1.2359598875045776, 5.158578872680664], [-9.352965354919434, 1.7543864250183105, 4.320417404174805], [-4.533724784851074, -0.6262456774711609, 3.4737963676452637]]",2
