Label,Prediction,Probabilities
0,0,[     2.1889     -1.5024    -0.98009]
0,0,[     4.1816     -1.9014     -3.1855]
0,0,[      5.453     -3.8643     -2.7159]
0,0,[      5.698     -3.0265     -3.2774]
0,0,[     7.8192     -4.0573     -5.5273]
0,0,[     5.8603     -3.1454     -3.3876]
0,0,[     5.8032     -2.1103      -3.643]
0,0,[      4.346     -2.3896     -2.3205]
0,0,[     7.8167      -3.765     -4.2152]
0,0,[     4.2497     -2.0108     -2.7241]
0,0,[      4.866     -2.6447     -2.4107]
0,0,[     6.0393     -1.7366      -4.579]
0,0,[     7.3055     -3.2889     -4.8285]
0,0,[     7.1461     -2.8308     -4.9148]
0,0,[     6.3798     -3.6565     -3.0315]
0,2,[    -1.5715      -2.213      3.0024]
0,0,[     5.6711     -2.9676     -3.3959]
0,0,[     2.0272     -1.3766     -1.5209]
0,0,[     4.1196     -1.8485     -2.3609]
0,0,[     4.9951     -2.2998     -3.7904]
0,0,[     5.4436     -2.1096     -4.1278]
0,0,[     5.0122     -1.8991      -4.182]
0,0,[     7.1259     -2.9829     -4.2389]
0,2,[   -0.40051     -2.6758      2.4927]
0,0,[     5.3204     -2.6815     -3.4915]
0,0,[     6.0872     -2.7039     -3.8229]
0,0,[      5.755     -4.5173     -1.8464]
0,0,[     5.6212     -3.1537     -3.7366]
0,0,[     6.0275     -4.6988     -1.2952]
0,0,[     6.8044     -3.8078     -3.7361]
0,0,[     7.6941      -3.712     -5.3741]
0,0,[     6.9759     -3.3298     -3.7789]
0,1,[    -0.3449     0.78522    -0.74342]
0,0,[     3.6715     -2.2993     -1.6186]
0,0,[     5.7393     -3.1735     -3.6062]
0,0,[     6.2663     -2.8963     -4.9146]
0,0,[     5.5777     -3.7982     -2.5156]
0,0,[      4.314     -1.3233     -3.0958]
0,0,[     6.8077     -4.4321     -3.2642]
0,1,[    -1.3347      2.2487    -0.42538]
0,0,[     5.8444     -2.6716     -4.2267]
0,0,[     2.8147     -1.8805     -1.5134]
0,0,[     3.7331     0.33743     -3.9215]
0,0,[     5.9942     -3.0536     -3.6184]
0,1,[    0.60163      3.1827     -3.1868]
0,0,[    0.98105    -0.23612    -0.99185]
0,0,[     5.8022     -2.1878     -4.2897]
0,0,[     5.2588     -3.7208     -2.3778]
0,0,[     6.0932     -2.4781     -4.0014]
0,0,[     6.3036     -2.9442     -5.1013]
0,1,[   -0.30218     0.31272    -0.17201]
0,0,[     4.3435     -3.3994     -1.2537]
0,0,[     6.1276     -3.5995     -3.4286]
0,0,[     7.1705     -3.7089     -4.3264]
0,0,[     5.0971     -2.9446     -2.3626]
0,0,[     5.5334     -3.0049     -2.8142]
0,0,[      1.637     0.29729     -2.3125]
0,0,[     7.7409     -4.3038     -4.4795]
0,0,[     5.9256     -2.6009     -3.3967]
0,0,[     5.8635      -1.876     -4.5412]
