Label,Prediction,Probabilities
2,2,[    -5.7787      -5.376      5.9001]
2,2,[    -6.4938     -5.2615      6.4575]
2,2,[    -8.0449     -6.3865      7.4268]
2,2,[    -5.1603     -0.7282      2.2058]
2,2,[    -10.368     -8.9297      10.937]
2,2,[    -6.3419     -3.8411      5.5129]
2,2,[    -6.4493     -2.5186      4.1842]
2,2,[    -9.4084     -6.1927      7.7546]
2,2,[    -4.7918    0.030517      1.5763]
2,2,[    -8.3596      -6.907      8.5309]
2,1,[    -1.6136     0.58603    -0.40181]
2,2,[    -7.8437     -3.6787       5.539]
2,2,[    -9.2457      -9.067       10.39]
2,2,[    -11.714      -8.904      11.547]
2,2,[    -7.6982     -5.2294       6.916]
2,2,[    -4.0573     -3.1987      3.4237]
2,2,[    -5.3221     -3.7841      4.5331]
2,2,[    -9.2339     -7.9135      9.3946]
2,1,[    -4.4705      2.3607    -0.55256]
2,1,[    -5.1915      1.4109     0.81256]
2,2,[    -6.8079     -4.6811      5.6246]
2,2,[    -7.6317     -5.9365      7.0549]
2,2,[    -4.7007     -1.8301      3.0067]
2,1,[    -5.4319      2.0876     0.65804]
2,2,[    -7.1084     -6.3057      7.5675]
2,2,[    -5.5148      -2.386      3.5108]
2,2,[     -8.676     -7.9183      9.6566]
2,2,[    -2.7991     0.33752      0.9216]
2,2,[    -7.8903     -5.0228      6.5242]
2,2,[    -6.5865     -6.2313      6.5493]
2,1,[    -3.6961      1.8395     0.12681]
2,2,[     -3.661     0.84551      0.8526]
2,2,[    -9.7411     -8.9265      10.476]
2,2,[    -6.3258     -2.1774      4.0625]
2,2,[    -5.4605     -3.2626      4.5843]
2,2,[    -7.0009     -5.1011      5.8988]
2,2,[    -3.1673   -0.080633      1.4781]
2,1,[     -2.551      2.4549     -2.3012]
2,2,[    -4.7832     -4.3546      5.4353]
2,2,[    -5.8904     -4.6783      5.6155]
2,2,[     -6.727     -4.4715      6.1883]
2,2,[    -5.3803     -4.5541      5.4112]
2,2,[      -10.5     -8.7807      10.706]
2,2,[    -8.3962     -5.6798      7.4073]
2,2,[    -5.8141     -3.3512      4.5699]
2,2,[    -6.5596      -5.788      6.7396]
2,1,[    -3.0296     0.47933     0.45436]
2,2,[    -6.0713     0.14144      2.2682]
2,2,[    -5.4124     -2.3945      3.6009]
2,2,[    -5.9078     -4.2276      5.3931]
2,2,[    -9.2819      -7.348      9.0984]
2,2,[    -7.0138      -4.103       5.448]
2,2,[    -6.0031     -1.5013      3.2588]
2,2,[    -7.8295     -5.9439      7.6139]
2,2,[    -6.2623     -3.7302      5.0812]
2,2,[    -5.1963     -3.2637       4.475]
2,2,[    -6.3437     -4.4932      5.7183]
2,1,[    -1.6136     0.58603    -0.40181]
2,2,[    -9.1457     -6.6782      8.4062]
2,2,[    -8.3354     -7.0421      8.2186]
2,2,[    -8.6819     -7.1745      8.7589]
2,1,[    -4.9275      1.8159     0.63456]
2,2,[    -8.9933     -7.6423      8.9976]
2,2,[    -8.2715     -6.8928      8.6644]
2,2,[    -3.6154    -0.72514      1.8433]
2,2,[    -5.0235     -2.1519      3.0829]
